WS,category,definition,gloss,uni_lemma
item_626,pronouns,oma,mine,1SG.POSS
item_627,pronouns,see,this,this
item_628,pronouns,sina,you,2SG
item_629,pronouns,sinu,your,2SG.POSS
item_630,pronouns,teie,you,2PL
item_631,pronouns,tema,her/him,3SG
item_632,,usepast,,
item_633,,usefuture,,
item_634,,miss_produce,,
item_635,,miss_comp,,
item_636,,usepossessive,,
item_637,,morph_plural,,
item_638,,morph_loc,,
item_639,,morph_past,,
item_640,,morph_com,,
item_641,,kas_teeb_lauseid,,
item_642,,Kaks käsi / Kaks kätt,,
item_643,,_Õde nukk / Õe nukk,,
item_644,,Mina torni / Mina teen torni,,
item_645,,Tita kurb / Tita on kurb,,
item_646,,Minu auto / See on minu auto,,
item_647,,Kutsa seal / Kutsa on laua peal,,
item_648,,Tita süüa / Tita tahab süüa,,
item_649,,Kus emme? / Kuhu emme läks?,,
item_650,,Ei oska / Ma ei oska seda teha,,
item_651,,Kohv kuum / See kohv on kuum,,
item_652,,Ei taha vanni / Ma ei taha vanni minna,,
item_653,,Kutsa musi / Kutsa tegi mulle musi,,
item_654,,Tee terveks? Kas sa teed terveks?,,
item_655,,(Teie lapse nimi) ka tahab piima / Mina ka tahan piima,,
item_656,,Ära loe juttu! / Ära loe mulle seda juttu!,,
item_657,,"Kassile süüa, juua! / Mina annan kassile süüa ja juua",,
item_658,,Tahan veel vaadata / Tahan veel seda raamatut vaadata,,
item_659,,Kus mu auto on? / Kus mu punane veoauto on?,,
item_660,,See on tibu ja teine tibu / Need on kaks tibu,,
item_661,,Tahan veel mängida / Tahan veel oma nukuga mängida,,
item_662,,Pane tuli põlema / Pane tuli põlema et ma näeksin,,
item_663,,Me tegime selle / Mina ja Paul tegime selle,,
item_664,,Tädi tuleb punasega autoga / Tädi tuleb punase autoga,,
item_665,,"Vaata, minu kiisu see! / Vaata, milline kiisu mul on!",,
item_666,,Ma võtan selle raamatu ja siis selle / Ma võtan need raamatud,,
item_667,,Mina loen ja emme loeb / Meie emmega loeme,,
item_668,,"Tita nutab, tita on kurb / Tita nurab, sest ta on kurb",,
item_669,,"Emme, vaata, ma sõidan / Emme, vaata, kuidas ma rattaga sõidan",,
item_670,,"Tädi kallab mahla, ta kallab tassi / Tädi kallab mahla, tassi",,
item_671,,Voodi alt otsin mina palli / Ma otsin palli voodi alt,,
item_672,,Kas ei lähe tüdruk õue? / Kas tüdruk ei lähe õue?,,
item_673,,Need on minu püksid / Need on minu uued sinised püksid,,
item_674,,Kass hüppas kapi peale / Kass hüppas laua pealt kapi peale,,
item_675,,"Emme on köögis, emme peseb nõusid / Emme peseb köögis nõusid",,
item_676,,"Auto on katki, tuleb parandada / Kui auto on katki, siis tuleb parandada",,
